Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
1217,0,0,0,0,0
1315,0,0,0,0,0
1355,0,0,0,0,0
1390,0,0,0,0,0
1424,0,0,0,0,0
1457,0,0,0,0,0
1491,0,0,0,0,0
1525,0,0,0,0,0
1559,0,0,0,0,0
1593,0,0,0,0,0
1626,0,0,0,0,0
1660,0,0,0,0,0
1693,0,0,0,0,0
1728,0,0,0,0,0
1761,0,0,0,0,0
1795,0,0,0,0,0
1830,0,0,0,0,0
1864,0,0,0,0,0
1898,0,0,0,0,0
1933,0,0,0,0,0
1967,0,0,0,0,0
2002,0,0,0,0,0
2037,0,0,0,0,0
2071,0,0,0,0,0
2105,0,0,0,0,0
2146,0,0,0,0,0
2183,0,0,0,0,0
2224,0,0,0,0,0
2266,0,0,0,0,0
2300,0,0,0,0,0
2333,0,0,0,0,0
2367,0,0,0,0,0
2401,0,0,0,0,0
2436,0,0,0,0,0
2470,0,0,0,0,0
2505,0,0,0,0,0
2540,0,0,0,0,0
2574,0,0,0,0,0
2608,0,0,0,0,0
2642,0,0,0,0,0
2676,0,0,0,0,0
2710,0,0,0,0,0
2755,0,0,0,0,0
2789,0,0,0,0,0
2822,0,0,0,0,0
2856,0,0,0,0,0
2890,0,0,0,0,0
2923,0,0,0,0,0
2958,0,0,0,0,0
3003,0,0,0,0,0
3037,0,0,0,0,0
3070,0,0,0,0,0
3104,0,0,0,0,0
3138,0,0,0,0,0
3171,0,0,0,0,0
3205,0,0,0,0,0
3239,0,0,0,0,0
3282,0,0,0,0,0
3316,0,0,0,0,0
3350,0,0,0,0,0
3383,0,0,0,0,0
3417,0,0,0,0,0
3450,0,0,0,0,0
3483,0,0,0,0,0
3517,0,0,0,0,0
3550,0,0,0,0,0
3584,0,0,0,0,0
3618,0,0,0,0,0
3651,0,0,0,0,0
3685,0,0,0,0,0
3718,0,0,0,0,0
3752,0,0,0,0,0
3787,0,0,0,0,0
3820,0,0,0,0,0
3854,0,0,0,0,0
3888,0,0,0,0,0
3921,0,0,0,0,0
3955,0,0,0,0,0
3989,0,0,0,0,0
4022,0,0,0,0,0
4056,0,0,0,0,0
4090,0,0,0,0,0
4124,0,0,0,0,0
4158,0,0,0,0,0
4191,0,0,0,0,0
4225,0,0,0,0,0
4259,0,0,0,0,0
4294,0,0,0,0,0
4330,0,0,0,0,0
4364,0,0,0,0,0
4397,0,0,0,0,0
4431,0,0,0,0,0
4464,0,0,0,0,0
4498,0,0,0,0,0
4532,0,0,0,0,0
4565,0,0,0,0,0
4599,0,0,0,0,0
4632,0,0,0,0,0
4666,0,0,0,0,0
4700,0,0,0,0,0
4733,0,0,0,0,0
4767,0,0,0,0,0
4802,0,0,0,0,0
4836,0,0,0,0,0
4869,0,0,0,0,0
4903,0,0,0,0,0
4937,0,0,0,0,0
4971,0,0,0,0,0
5006,0,0,0,0,0
5039,0,0,0,0,0
5073,0,0,0,0,0
5106,0,0,0,0,0
5140,0,0,0,0,0
5174,0,0,0,0,0
5207,0,0,0,0,0
5241,0,0,0,0,0
5275,0,0,0,0,0
5310,0,0,0,0,0
5346,0,0,0,0,0
5380,0,0,0,0,0
5414,0,0,0,0,0
5447,0,0,0,0,0
5481,0,0,0,0,0
5514,0,0,0,0,0
5548,0,0,0,0,0
5582,0,0,0,0,0
5615,0,0,0,0,0
5648,0,0,0,0,0
5682,0,0,0,0,0
5715,0,0,0,0,0
5749,0,0,0,0,0
5782,0,0,0,0,0
5817,0,0,0,0,0
5851,0,0,0,0,0
5884,0,0,0,0,0
5918,0,0,0,0,0
5951,0,0,0,0,0
5985,0,0,0,0,0
6018,0,0,0,0,0
6051,0,0,0,0,0
6085,0,0,0,0,0
6120,0,0,0,0,0
6154,0,0,0,0,0
6187,0,0,0,0,0
6221,0,0,0,0,0
6254,0,0,0,0,0
6288,0,0,0,0,0
6323,0,0,0,0,0
6361,0,0,0,0,0
6394,0,0,0,0,0
6427,0,0,0,0,0
6461,0,0,0,0,0
6494,0,0,0,0,0
6528,0,0,0,0,0
6562,0,0,0,0,0
6595,0,0,0,0,0
6628,0,0,0,0,0
6662,0,0,0,0,0
6695,0,0,0,0,0
6729,0,0,0,0,0
6762,0,0,0,0,0
6795,0,0,0,0,0
6831,0,0,0,0,0
6867,0,0,0,0,0
6900,0,0,0,0,0
6934,0,0,0,0,0
6968,0,0,0,0,0
7005,0,0,0,0,0
7038,0,0,0,0,0
7072,0,0,0,0,0
7105,0,0,0,0,0
7139,0,0,0,0,0
7172,0,0,0,0,0
7205,0,0,0,0,0
7239,0,0,0,0,0
7273,0,0,0,0,0
7306,0,0,0,0,0
7340,0,0,0,0,0
7374,0,0,0,0,0
7408,0,0,0,0,0
7442,0,0,0,0,0
7475,0,0,0,0,0
7509,0,0,0,0,0
7542,0,0,0,0,0
7576,0,0,0,0,0
7609,0,0,0,0,0
7643,0,0,0,0,0
7676,0,0,0,0,0
7709,0,0,0,0,0
7743,0,0,0,0,0
7776,0,0,0,0,0
7810,0,0,0,0,0
7843,0,0,0,0,0
7877,0,0,0,0,0
7910,0,0,0,0,0
7945,0,0,0,0,0
7978,0,0,0,0,0
8012,0,0,0,0,0
8045,0,0,0,0,0
8079,0,0,0,0,0
8115,0,0,0,0,0
8152,0,0,0,0,0
8189,0,0,0,0,0
8225,0,0,0,0,0
8259,0,0,0,0,0
8292,0,0,0,0,0
8326,0,0,0,0,0
8360,0,0,0,0,0
8393,0,0,0,0,0
8427,0,0,0,0,0
8463,0,0,0,0,0
8498,0,0,0,0,0
8531,0,0,0,0,0
8565,0,0,0,0,0
8598,0,0,0,0,0
8631,0,0,0,0,0
8665,0,0,0,0,0
8698,0,0,0,0,0
8732,0,0,0,0,0
8765,0,0,0,0,0
8798,0,0,0,0,0
8832,0,0,0,0,0
8866,0,0,0,0,0
8899,0,0,0,0,0
8933,0,0,0,0,0
8967,0,0,0,0,0
9004,0,0,0,0,0
9038,0,0,0,0,0
9072,0,0,0,0,0
9105,0,0,0,0,0
9138,0,0,0,0,0
9172,0,0,0,0,0
9205,0,0,0,0,0
9239,0,0,0,0,0
9272,0,0,0,0,0
9306,0,0,0,0,0
9339,0,0,0,0,0
9373,0,0,0,0,0
9406,0,0,0,0,0
9440,0,0,0,0,0
9473,0,0,0,0,0
9508,0,0,0,0,0
9542,0,0,0,0,0
9576,0,0,0,0,0
9609,0,0,0,0,0
9643,0,0,0,0,0
9676,0,0,0,0,0
9710,0,0,0,0,0
9743,0,0,0,0,0
9777,0,0,0,0,0
9810,0,0,0,0,0
9844,0,0,0,0,0
9877,0,0,0,0,0
9911,0,0,0,0,0
9944,0,0,0,0,0
9978,0,0,0,0,0
10013,0,0,0,0,0
10052,0,0,0,0,0
10086,0,0,0,0,0
10119,0,0,0,0,0
10153,0,0,0,0,0
10187,0,0,0,0,0
10221,0,0,0,0,0
10254,0,0,0,0,0
10287,0,0,0,0,0
10321,0,0,0,0,0
10354,0,0,0,0,0
10388,0,0,0,0,0
10421,0,0,0,0,0
10455,0,0,0,0,0
10488,0,0,0,0,0
10523,0,0,0,0,0
10557,0,0,0,0,0
10590,0,0,0,0,0
10624,0,0,0,0,0
10657,0,0,0,0,0
10691,0,0,0,0,0
10724,0,0,0,0,0
10758,0,0,0,0,0
10791,0,0,0,0,0
10825,0,0,0,0,0
10858,0,0,0,0,0
10891,0,0,0,0,0
10925,0,0,0,0,0
10958,0,0,0,0,0
10993,0,0,0,0,0
11028,0,0,0,0,0
11069,0,0,0,0,0
11103,0,0,0,0,0
11140,0,0,0,0,0
11174,0,0,0,0,0
11208,0,0,0,0,0
11241,0,0,0,0,0
11275,0,0,0,0,0
11308,0,0,0,0,0
11342,0,0,0,0,0
11375,0,0,0,0,0
11408,0,0,0,0,0
11442,0,0,0,0,0
11475,0,0,0,0,0
11509,0,0,0,0,0
11543,0,0,0,0,0
11576,0,0,0,0,0
11615,0,0,0,0,0
11648,0,0,0,0,0
11682,0,0,0,0,0
11715,0,0,0,0,0
11749,0,0,0,0,0
11783,0,0,0,0,0
11816,0,0,0,0,0
11850,0,0,0,0,0
11883,0,0,0,0,0
11917,0,0,0,0,0
11950,0,0,0,0,0
11983,0,0,0,0,0
12017,0,0,0,0,0
12051,0,0,0,0,0
12084,0,0,0,0,0
12118,0,0,0,0,0
12153,0,0,0,0,0
12187,0,0,0,0,0
12221,0,0,0,0,0
12255,0,0,0,0,0
12288,0,0,0,0,0
12322,0,0,0,0,0
12355,0,0,0,0,0
12389,0,0,0,0,0
12422,0,0,0,0,0
12456,0,0,0,0,0
12489,0,0,0,0,0
12523,0,0,0,0,0
12556,0,0,0,0,0
12590,0,0,0,0,0
12623,0,0,0,0,0
12657,0,0,0,0,0
12692,0,0,0,0,0
12730,0,0,0,0,0
12764,0,0,0,0,0
12797,0,0,0,0,0
12831,0,0,0,0,0
12864,0,0,0,0,0
12898,0,0,0,0,0
12932,0,0,0,0,0
12966,0,0,0,0,0
13002,0,0,0,0,0
13036,0,0,0,0,0
13069,0,0,0,0,0
13103,0,0,0,0,0
13137,0,0,0,0,0
13170,0,0,0,0,0
13206,0,0,0,0,0
13240,0,0,0,0,0
13283,0,0,0,0,0
13316,0,0,0,0,0
13350,0,0,0,0,0
13383,0,0,0,0,0
13417,0,0,0,0,0
13450,0,0,0,0,0
13484,0,0,0,0,0
13517,0,0,0,0,0
13551,0,0,0,0,0
13584,0,0,0,0,0
13618,0,0,0,0,0
